id,full_name,orcid,wikidata,has_orcid,has_wikidata,lifespan,nationality,fields,notable_works,review_state
almaas-a-h,A. H. Almaas,,Q4647826,,y,,American,psychology; spirituality,almaas-2014-runaway-realization,draft
almeder-robert,Robert Almeder,,Q7344153,,y,1939–2022,American,philosophy; philosophy-of-mind,almeder-1992-death-and-personal-survival,draft
alverga-alex-polari-de,Alex Polari de Alverga,,Q106595653,,y,,Brazilian,ayahuasca; spirituality,alverga-1999-forest-of-visions,draft
aurobindo-sri,Sri Aurobindo,,Q192207,,y,1872–1950,Indian,philosophy; spirituality; mysticism,aurobindo-1987-essential-aurobindo,draft
mcdermott-robert,Robert McDermott,0000-0002-4014-9964,Q91596953,y,y,,American,philosophy; religious-studies; editor,aurobindo-1987-essential-aurobindo,draft
bache-christopher,Christopher M. Bache,,Q111452483,,y,1949–,American,philosophy; transpersonal-psychology; psychedelics,bache-1990-lifecycles; bache-2000-dark-night-early-dawn; bache-2008-living-classroom; bache-2019-lsd-mind-universe,draft
badiner-allan-hunt,Allan Hunt Badiner,,Q113821714,,y,1950–,American,editor; buddhism,badiner-2002-zig-zag-zen,draft
grey-alex,Alex Grey,0000-0001-9659-6408,Q725199,y,y,1953–,American,art; mysticism,badiner-2002-zig-zag-zen,draft
baring-anne,Anne Baring,0009-0000-3760-7242,Q17333608,y,y,1931–,British,mythology; spirituality,baring-2013-dream-of-the-cosmos,draft
berry-thomas,Thomas Berry,0000-0002-0314-4136,Q349709,y,y,1914–2009,American,ecotheology; cosmology,berry-1988-dream-of-the-earth; berry-1999-great-work,draft
blewett-duncan,Duncan Blewett,,Q136673193,,y,1910–2007,Canadian,psychology; psychiatry; psychotherapy,blewett-1959-handbook-for-the-therapeutic-use-of-lsd-25; blewett-1969-the-frontiers-of-being; blewett-1981-dynamics-of-morale; blewett-1985-a-handbook-for-psychotronic-engineering,verified
chwelos-n,N. Chwelos,,Q136673052,,y,,Canadian,psychiatry; psychotherapy; psychopharmacology,blewett-1959-handbook-therapeutic-lsd; q54037231-psychological-response-to-d-lysergic-acid-diethylamide; q34250203-use-of-d-lysergic-acid-diethylamide-in-the-treatment-of-alcoholism,verified
bowman-carol,Carol Bowman,,Q5044268,,y,1950–,American,reincarnation; psychology,bowman-1997-childrens-past-lives; bowman-2001-return-from-heaven,draft
carhart-harris-robin,Robin Carhart-Harris,0000-0002-6062-7150,Q49986629,y,y,1981–,British,neuroscience; psychedelics,carhart-harris-2012-neural-correlates-psychedelic-state-fmri-psilocybin; carhart-harris-2014-the-entropic-brain; carhart-harris-2016-neural-correlates-lsd-experience-multimodal-neuroimaging; carhart-harris-2016-psilocybin-psychological-support-treatment-resistant-depression; carhart-harris-2018-psilocybin-treatment-resistant-depression-fmri-mechanisms; carhart-harris-2019-rebus-and-the-anarchic-brain; carhart-harris-2021-trial-of-psilocybin-versus-escitalopram-for-depression,draft
kaelen-mendel,Mendel Kaelen,0000-0002-6987-9346,Q136673039,y,y,,Dutch,music-therapy; psychedelics,carhart-harris-2016-paradoxical-psychological-effects-lsd,draft
bolstridge-mark,Mark Bolstridge,,Q136673055,,y,,British,psychiatry; psychedelics; psychopharmacology,carhart-harris-2016-paradoxical-psychological-effects-lsd; q24174843-neural-correlates-of-the-lsd-experience; q42377130-psilocybin-for-treatment-resistant-depression; q28005551-psilocybin-with-psychological-support,verified
nutt-david-j,David J. Nutt,0000-0002-1286-1401,Q3277223,y,y,1951–,British,psychopharmacology; neuroscience,carhart-harris-2016-paradoxical-psychological-effects-lsd,draft
clark-w-c,W. C. Clark,0000-0001-8994-5251,Q8006273,y,y,,American,religious-studies; psychedelics,clark-1964-religion-consciousness-expanding-substances; clark-1969-chemical-mysticism,draft
cranston-sylvia,Sylvia Cranston,,Q112421631,,y,1915–2000,American,reincarnation; theosophy,cranston-1984-reincarnation,draft
williams-carey,Carey Williams,,Q111692591,,y,,American,reincarnation; spirituality,cranston-1984-reincarnation,draft
dalai-lama,His Holiness the Dalai Lama,,Q17293,,y,1935–,Tibetan,spirituality; buddhism,dalai-lama-2005-universe-in-a-single-atom,draft
alighieri-dante,Dante Alighieri,,Q1067,,y,1265–1321,Italian,poetry; mysticism,alighieri-1995-divine-comedy,draft
devereux-paul,Paul Devereux,0000-0003-0221-8241,Q7150253,y,y,1945–,British,archaeology; consciousness; sacred-landscape,devereux-1997-long-trip,draft
diamond-jared,Jared Diamond,,Q205772,,y,1937–,American,geography; anthropology,diamond-2005-collapse,draft
edwards-paul,Paul Edwards,0000-0001-6228-1520,Q109269357,y,y,1923–2004,Austrian-American,philosophy,edwards-1986-case-against-reincarnation; edwards-1996-reincarnation,draft
eisenstein-charles,Charles Eisenstein,,Q5077338,,y,1967–,American,philosophy; ecology; economics,eisenstein-2007-ascent-of-humanity,draft
elgin-duane,Duane Elgin,,Q5310326,,y,1940–,American,systems-theory; sustainability; spirituality,elgin-1993-awakening-earth; elgin-2001-promise-ahead,draft
ellens-j-harold,J. Harold Ellens,0000-0002-7814-0834,Q6105942,y,y,1932–2018,American,theology; psychology; psychedelics,ellens-2014-seeking-sacred-psychoactive-substances,draft
elliott-larry,Larry Elliott,,Q6490260,,y,,British,journalism; economics,elliott-2019-worlds-26-richest,draft
